epoch,accuracy,loss,val_accuracy,val_loss
0,0.3634099066257477,1.3311669826507568,0.4524495601654053,1.2742667198181152
1,0.6371436715126038,0.9966139793395996,0.6714697480201721,0.9414876103401184
2,0.795737624168396,0.5924873948097229,0.7002881765365601,0.8110350966453552
3,0.8474951386451721,0.42053788900375366,0.6772334575653076,0.8043212294578552
4,0.8818156719207764,0.32577434182167053,0.6772334575653076,0.8493267297744751
5,0.9094935059547424,0.26568374037742615,0.6685879230499268,0.9154555797576904
6,0.92360919713974,0.22522684931755066,0.7002881765365601,0.9768050312995911
7,0.94768887758255,0.1797742247581482,0.6916426420211792,1.062675952911377
8,0.9559922218322754,0.15501414239406586,0.6829971075057983,1.1284006834030151
9,0.9579296708106995,0.13960127532482147,0.6628242135047913,1.2297747135162354
10,0.9648491740226746,0.12187670916318893,0.6974063515663147,1.2645448446273804
11,0.9654027223587036,0.11514553427696228,0.6657060384750366,1.299500584602356
12,0.9681705236434937,0.10322186350822449,0.6685879230499268,1.327104091644287
13,0.9695543646812439,0.09633515775203705,0.6829971075057983,1.3813323974609375
14,0.9723221659660339,0.08965500444173813,0.6772334575653076,1.4156807661056519
15,0.9723221659660339,0.08484026789665222,0.6714697480201721,1.444075345993042
16,0.974259614944458,0.08196328580379486,0.6743515729904175,1.5244414806365967
17,0.9761970639228821,0.07931802421808243,0.6858789920806885,1.5157874822616577
18,0.9761970639228821,0.07850364595651627,0.6714697480201721,1.54926598072052
19,0.9745364189147949,0.07234202325344086,0.680115282535553,1.5364220142364502
20,0.9753667116165161,0.06757383793592453,0.6743515729904175,1.6372056007385254
21,0.977027416229248,0.06778548657894135,0.6714697480201721,1.6082550287246704
22,0.9775809645652771,0.06120564416050911,0.6628242135047913,1.6593379974365234
23,0.9767506122589111,0.0584307424724102,0.6570605039596558,1.687675952911377
24,0.9778577089309692,0.05898477882146835,0.6743515729904175,1.6824924945831299
